Fiscal Year,LEA Name,LEA Entity ID,School Name,School Entity ID,PS,KG,1,2,3,4,5,6,7,8,9,10,11,12,Total
2022,Archway Classical Academy Trivium West,90915,Great Hearts Online - Arizona,1001717,*,55,83,85,80,64,69,56,34,26,*,*,*,*,552
2022,Archway Classical Academy Veritas,90916,Great Hearts Academies - Archway Veritas,91000,*,119,119,119,119,118,121,*,*,*,*,*,*,*,715
2022,Archway Classical Academy Chandler,90917,Great Hearts Academies - Archway Chandler,90999,*,85,88,88,86,91,91,*,*,*,*,*,*,*,529
2022,"Pima Rose Academy, Inc.",90997,Pima Rose Academy,90998,*,*,*,*,*,*,*,*,*,*,25,62,74,218,379
2022,South Phoenix Academy Inc.,91108,South Phoenix Prep and Arts Academy,91109,*,75,63,67,70,70,*,*,*,*,*,*,*,*,345
2022,Scottsdale Country Day School,91110,Scottsdale Country Day School,91111,*,18,18,22,23,18,24,*,*,*,*,*,*,*,145
2022,"Arizona Agribusiness & Equine Center, Inc.",91131,"Arizona Agribusiness & Equine Center, Inc. - Prescott Valley",91132,*,*,*,*,*,*,*,*,*,*,101,96,76,60,333
2022,Legacy Traditional School - Chandler,91133,Legacy Traditional School - Chandler,91134,*,139,135,144,140,115,128,151,114,122,*,*,*,*,1188
2022,Legacy Traditional School - Avondale,91135,Legacy Traditional School - Avondale,91136,*,149,153,156,160,151,157,157,131,117,*,*,*,*,1331
2022,Legacy Traditional School - Northwest Tucson,91137,Legacy Traditional School - Northwest Tucson,91138,*,125,161,159,155,160,160,159,138,120,*,*,*,*,1337
2022,"EAGLE College Prep Harmony, LLC",91170,EAGLE College Prep Phoenix South,91171,*,24,16,22,21,15,14,17,16,19,*,*,*,*,164
2022,Leading Edge Academy Queen Creek,91174,Leading Edge Academy Mountain View,91175,*,65,53,50,49,50,48,42,26,26,*,*,*,*,409
2022,"Open Doors Community School, Inc.",91238,Open Doors Community School,91789,*,*,*,*,18,*,16,15,*,*,*,*,*,*,92
2022,"The Paideia Academies, Inc",91250,The Paideia Academy of South Phoenix,91775,*,92,91,90,97,86,89,86,*,*,*,*,*,*,631
2022,"The Paideia Academies, Inc",91250,Paideia Liberal Arts Academy,1001431,*,*,*,*,*,*,*,*,72,73,33,*,*,*,178
2022,Hirsch Academy A Challenge Foundation,91275,Hirsch Academy A Challenge Foundation,92223,*,28,28,35,16,24,21,11,*,*,*,*,*,*,163
2022,Empower College Prep,91277,Empower College Prep,91783,*,59,57,48,44,53,80,86,96,87,*,*,*,*,610
2022,Empower College Prep,91277,Empower College Prep High School,92975,*,*,*,*,*,*,*,*,*,*,125,95,86,58,364
2022,"BASIS Charter Schools, Inc.",91280,BASIS Phoenix,91343,*,*,*,*,*,*,*,176,135,125,69,72,64,86,727
2022,ASU Preparatory Academy,91303,ASU Preparatory Academy- Phoenix High School,91304,*,*,*,*,*,*,*,*,*,*,109,89,80,51,329
2022,ASU Preparatory Academy,91305,ASU Preparatory Academy-Polytechnic High School,91306,*,*,*,*,*,*,*,*,*,112,108,72,82,49,423
2022,ASU Preparatory Academy,91307,ASU Preparatory Academy-Polytechnic Elementary,91308,*,87,88,93,98,95,*,*,*,*,*,*,*,*,461
2022,"BASIS Charter Schools, Inc.",91309,BASIS Tucson North,91766,*,*,*,*,*,*,147,169,150,132,74,52,69,69,862
2022,Reid Traditional Schools' Painted Rock Academy Inc.,91317,Reid Traditional Schools' Painted Rock Academy,91318,*,78,55,68,59,60,48,59,52,34,*,*,*,*,513
2022,Incito Schools,91326,Incito Schools,92230,*,20,25,30,33,27,31,24,18,25,*,*,*,*,233
2022,Incito Schools,91326,Incito Schools-Phoenix,1000253,*,*,*,*,*,*,*,*,*,*,*,*,*,*,11
2022,Kaizen Education Foundation dba Discover U Elementary School,91328,Desert Mirage Preparatory Academy,92224,*,28,18,27,13,20,14,*,*,*,*,*,*,*,130
2022,Kaizen Education Foundation dba Advance U,91329,South Mountain Preparatory Academy,92225,*,14,16,20,15,*,*,*,*,*,*,*,*,*,65
2022,"BASIS Charter Schools, Inc.",91339,BASIS Ahwatukee,92030,*,*,*,*,*,99,117,133,113,82,54,36,47,39,720
2022,The Farm at Mission Montessori Academy,91340,Mission Montessori Academy's Middle Years Program,92247,*,*,*,*,*,*,*,18,17,12,*,*,*,*,47
2022,Archway Classical Academy North Phoenix,91758,Great Hearts Academies - Archway North Phoenix,91785,*,117,117,120,117,112,117,120,*,*,*,*,*,*,820
2022,Legacy Traditional School – Laveen Village,91763,Legacy Traditional School – Laveen Village,91764,*,123,128,115,118,117,112,112,94,100,*,*,*,*,1019
2022,Autism Academy of Education and Development,91877,Autism Academy of Education and Development,91919,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2022,Autism Academy of Education and Development,91877,Autism Academy for Education and Development - Tempe,92639,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2022,Autism Academy of Education and Development,91877,Autism Academy for Education and Development,92679,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2022,Archway Classical Academy Glendale,91878,Great Hearts Academies - Archway Glendale,91879,*,89,93,94,94,93,93,*,*,*,*,*,*,*,556
2022,CASA Academy,91934,CASA Academy,92498,*,32,42,45,47,45,*,*,*,*,*,*,*,*,211
2022,Madison Highland Prep,91935,Madison Highland Prep,92605,*,*,*,*,*,*,*,*,*,*,149,136,96,93,474
2022,"Western School of Science and Technology, Inc.",91937,Western School of Science and Technology,92619,*,*,*,*,*,*,*,*,91,95,108,89,73,75,531
2022,"EAGLE College Prep Maryvale, LLC",91938,EAGLE College Prep Maryvale,92563,*,38,47,49,38,44,45,51,39,49,*,*,*,*,400
2022,"EAGLE College Prep Mesa, LLC.",91939,EAGLE College Preparatory School- Mesa,92601,*,28,22,26,26,25,22,26,*,*,*,*,*,*,175
2022,"Vista College Preparatory, Inc.",91948,Vista College Preparatory,92177,*,48,45,53,63,60,*,*,*,*,*,*,*,*,269
2022,"Vista College Preparatory, Inc.",91948,Vista College Prep - Sueño Park,425015,*,*,*,*,*,*,113,98,90,64,*,*,*,*,365
2022,"Vista College Preparatory, Inc.",91948,Vista College Prep - Maryvale,551692,*,76,74,95,74,76,*,*,*,*,*,*,*,*,395
2022,"BASIS Charter Schools, Inc.",91949,BASIS Mesa,91997,*,62,94,92,67,65,85,76,52,55,37,51,36,35,807
2022,"Arizona Autism Charter Schools, Inc.",91958,Arizona Autism Charter School,92598,*,38,46,30,36,31,42,*,*,*,*,*,*,*,223
2022,"Arizona Autism Charter Schools, Inc.",91958,"Arizona Autism Charter School, Upper School Campus",92984,*,*,*,*,*,*,*,46,24,26,30,21,15,*,172
2022,"Arizona Autism Charter Schools, Inc.",91958,Arizona Autism Charter - Online High School,1001693,*,*,*,*,*,*,*,*,*,*,*,*,*,*,20
2022,"Arizona Autism Charter Schools, Inc.",91958,Arizona Autism Charter School-Online K-8,1001694,*,*,*,*,*,*,*,*,*,*,*,*,*,*,49
2022,StrengthBuilding Partners,91992,Las Puertas Community School,92497,*,*,*,*,*,*,*,*,*,13,11,*,*,*,46
2022,Southwest Leadership Academy,92043,Southwest Leadership Academy,92044,*,*,*,*,*,*,*,*,*,*,31,23,43,147,244
2022,Legacy Traditional School - Gilbert,92047,Legacy Traditional School – Gilbert,92048,*,138,149,148,119,150,143,117,94,102,*,*,*,*,1160
2022,"Herzberg Educational Services, dba The Jones-Gordon School",92191,"Herzberg Educational Services, dba The Jones-Gordon School",92298,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2022,Legacy Traditional School - Casa Grande,92199,Legacy Traditional School - Casa Grande,90366,*,164,160,159,159,122,151,157,119,124,*,*,*,*,1315
2022,"Edkey, Inc. - Sequoia Pathway Academy",92226,Sequoia Pathway Academy,90377,*,66,49,72,70,72,76,69,70,63,65,61,42,70,845
2022,Espiritu Community Development Corp.,92250,Reyes Maria Ruiz Leadership Academy,85886,*,59,51,72,64,71,63,59,*,*,*,*,*,*,439
2022,Pathways School and Evaluation Center,92253,Pathways School,92254,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2022,Pathways School and Evaluation Center,92253,Pathways School and Evaluation Center,787071,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2022,Desert Star Academy,92302,Desert Star Academy,92303,*,48,53,46,57,58,65,60,45,60,*,*,*,*,492
2022,Archway Classical Academy Arete,92312,Great Hearts Academies - Archway Arete,92313,*,90,88,90,88,90,89,*,*,*,*,*,*,*,535
2022,Archway Classical Academy Cicero,92314,Great Hearts Academies - Archway Cicero,92315,*,84,90,88,87,90,88,*,*,*,*,*,*,*,527
2022,Cicero Preparatory Academy,92316,Great Hearts Academies - Cicero Prep,92317,*,*,*,*,*,*,*,108,106,103,63,37,39,47,503
2022,"BASIS Charter Schools, Inc.",92318,BASIS Oro Valley Primary,92319,*,97,103,120,121,123,100,*,*,*,*,*,*,*,664
2022,"BASIS Charter Schools, Inc.",92320,BASIS Prescott,92321,*,66,64,64,57,55,64,49,60,41,24,31,17,27,619
2022,ASU Preparatory Academy,92325,ASU Preparatory Academy - Phoenix Middle School,92326,*,*,*,*,*,*,87,90,106,96,*,*,*,*,379
2022,ASU Preparatory Academy,92327,ASU Preparatory Academy-Polytechnic Middle School,91323,*,*,*,*,*,*,95,90,104,*,*,*,*,*,289
2022,"BASIS Charter Schools, Inc.",92349,BASIS Phoenix Central Primary,92350,*,78,74,83,77,82,46,*,*,*,*,*,*,*,440
2022,Breakthrough Academy,92367,Breakthrough Academy- East Campus,92914,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2022,Noah Webster Schools-Pima,92374,Noah Webster Schools-Pima,92345,*,51,43,58,43,50,43,39,*,*,*,*,*,*,327
2022,Ethos Academy - A Challenge Foundation Academy,92379,Ethos Academy- A Challenge Foundation Academy,92893,*,28,30,38,34,43,44,36,36,31,*,*,*,*,320
2022,Self Development Academy-Phoenix,92381,Self Development Academy-Phoenix,92890,*,44,27,35,33,36,32,32,23,25,*,*,*,*,287
2022,"Heritage Academy Queen Creek, Inc.",92519,Heritage Academy Queen Creek,92522,*,*,*,*,*,*,*,70,128,123,139,118,124,74,776
2022,"Heritage Academy Laveen, Inc.",92520,Heritage Academy Laveen,92521,*,*,*,*,*,*,*,25,54,72,134,111,102,85,583
2022,Arizona Language Preparatory,92566,Arizona Language Preparatory,92567,*,16,15,*,*,*,15,*,*,*,*,*,*,*,69
2022,"Franklin Phonetic Primary School, Inc.",92596,Franklin Phonetic Primary School-Sunnyslope,92597,*,13,14,13,13,11,*,*,*,*,*,*,*,*,78
2022,Legacy Traditional School - Queen Creek,92610,Legacy Traditional School - Queen Creek,90534,*,151,155,154,155,147,148,142,153,114,*,*,*,*,1319
2022,"Horizon Community Learning Center, Inc.",92620,Horizon Honors Elementary School,92621,*,93,108,103,116,108,113,119,*,*,*,*,*,*,760
2022,Archway Classical Academy Lincoln,92656,Great Hearts Academies - Archway Lincoln,92708,*,106,121,115,120,120,118,*,*,*,*,*,*,*,700
2022,Lincoln Preparatory Academy,92657,Great Hearts Academies - Lincoln Prep,92732,*,*,*,*,*,*,*,126,115,108,66,53,37,41,546
2022,"Beyond Autism, Inc.",92692,Beyond Autism - Central,92693,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2022,"Beyond Autism, Inc.",92692,Beyond Autism - North,1001383,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2022,Archway Classical Academy Trivium East,92704,Great Hearts Academies - Archway Trivium East,92707,*,84,77,100,86,84,84,*,*,*,*,*,*,*,515
2022,Southwest Technical Education District of Yuma (STEDY),92705,STEDY- Antelope HS Satellite,92934,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2022,Southwest Technical Education District of Yuma (STEDY),92705,STEDY- Cibola High School Satellite,92935,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
